File name,Euler number,Trabecular thickness (plate model),Trabecular pattern factor,Bone perimeter / area ratio,Number of objects,Average object area-equivalent circle diameter,Average object area
im_lr_004862.tif,17,4.88887543,0.11164295,0.40909204,17,13.5017756,143.17647059
im_lr_004861.tif,17,4.94712178,0.11906325,0.40427547,17,13.44793016,142.03676471
im_lr_004860.tif,17,4.86753682,0.10915253,0.41088544,17,13.44723397,142.02205882
im_lr_004859.tif,18,4.7155369,0.10828959,0.42412986,18,12.9169436,131.04166667
im_lr_004858.tif,19,4.66002025,0.09554472,0.42918268,19,12.71091645,126.89473684
im_lr_004857.tif,19,4.92069546,0.11969989,0.40644661,19,12.79662781,128.61184211
im_lr_004856.tif,20,4.86847815,0.1234864,0.41080599,20,12.65596834,125.8
im_lr_004855.tif,17,5.09772294,0.10226436,0.39233203,17,14.21614194,158.72794118
im_lr_004854.tif,23,4.98424264,0.1083924,0.40126457,23,12.46807366,122.0923913
im_lr_004853.tif,21,5.04480821,0.1036493,0.39644718,21,13.27116768,138.32738095
im_lr_004852.tif,18,5.33142778,0.09953886,0.37513403,18,14.71797267,170.13194444
im_lr_004851.tif,16,5.76353498,0.08144899,0.34700926,16,16.17100859,205.3828125
im_lr_004850.tif,16,5.76432678,0.07535259,0.34696159,16,16.39945158,211.2265625
im_lr_004849.tif,16,5.61336209,0.06800063,0.35629271,16,16.35936991,210.1953125
im_lr_004848.tif,16,5.5430286,0.05434059,0.36081358,16,16.65404845,217.8359375
im_lr_004847.tif,19,5.6612685,0.07953745,0.35327772,19,15.35061752,185.07236842
im_lr_004846.tif,22,5.68503215,0.07987617,0.351801,22,14.57790297,166.90909091
im_lr_004845.tif,19,5.80051271,0.06721073,0.34479711,19,16.0331021,201.89473684
im_lr_004844.tif,17,6.00315895,0.07757259,0.33315793,17,17.3063826,235.23529412
im_lr_004843.tif,17,5.7608592,0.06656575,0.34717044,17,17.14359961,230.83088235
im_lr_004842.tif,20,5.63031392,0.06615083,0.35521998,20,15.75645251,194.9875
im_lr_004841.tif,22,5.61383074,0.07904036,0.35626297,22,15.03810844,177.61363636
im_lr_004840.tif,23,5.53254808,0.07760011,0.36149708,23,14.82004796,172.5
im_lr_004839.tif,22,5.47645998,0.08307158,0.36519942,22,15.33488385,184.69318182
im_lr_004838.tif,22,5.4333702,0.07108297,0.36809566,22,15.53036001,189.43181818
im_lr_004837.tif,23,5.51555507,0.08430228,0.36261083,23,15.49948409,188.67934783
im_lr_004836.tif,26,5.41481276,0.09119485,0.36935719,26,14.69207107,169.53365385
im_lr_004835.tif,25,5.31792481,0.07556844,0.37608655,25,15.36647779,185.455
im_lr_004834.tif,24,5.35362649,0.06602896,0.37357855,24,15.90816213,198.76041667
im_lr_004833.tif,27,5.26976216,0.07660416,0.37952377,27,15.17904167,180.95833333
im_lr_004832.tif,29,5.32593416,0.07417017,0.37552098,29,14.87844285,173.86206897
im_lr_004831.tif,25,5.24231215,0.06729819,0.38151105,25,16.29931892,208.655
im_lr_004830.tif,33,5.21888306,0.07186737,0.38322376,33,14.04580397,154.9469697
im_lr_004829.tif,30,5.23342065,0.07258305,0.38215923,30,14.74342281,170.72083333
im_lr_004828.tif,30,5.19776725,0.0777563,0.3847806,30,14.65499865,168.67916667
im_lr_004827.tif,27,5.1967446,0.0629012,0.38485632,27,15.6535546,192.44907407
im_lr_004826.tif,21,5.27084139,0.04163919,0.37944606,22,17.51240535,240.86931818
im_lr_004825.tif,22,5.57088989,0.04776751,0.35900907,23,17.45443096,239.27717391
im_lr_004824.tif,29,5.46537638,0.05631151,0.36594003,30,15.32755416,184.51666667
im_lr_004823.tif,31,5.51926379,0.07073002,0.36236717,32,14.82558431,172.62890625
im_lr_004822.tif,28,5.55810457,0.0676653,0.3598349,28,16.01884019,201.53571429
im_lr_004821.tif,26,5.50610428,0.0518714,0.36323322,26,16.61893253,216.91826923
im_lr_004820.tif,24,5.60472484,0.05071212,0.35684178,24,17.80570914,249.00520833
im_lr_004819.tif,20,5.71940208,0.05290627,0.3496869,20,19.6856895,304.3625
im_lr_004818.tif,21,5.86698995,0.06234585,0.34089031,21,19.54875328,300.14285714
im_lr_004817.tif,21,5.93253662,0.04017866,0.33712392,21,20.0611515,316.08333333
im_lr_004816.tif,22,6.09386882,0.03198467,0.32819873,22,20.29978042,323.64772727
im_lr_004815.tif,19,6.4042706,0.01888738,0.31229161,22,21.33773386,357.59090909
im_lr_004814.tif,18,6.71323604,0.01013996,0.29791892,20,23.08218117,418.45
im_lr_004813.tif,16,6.71612097,-0.00179386,0.29779094,20,23.91990845,449.375
im_lr_004812.tif,12,6.97641164,-0.02305874,0.28668033,14,29.48897883,682.98214286
im_lr_004811.tif,6,7.2455037,-0.03435039,0.27603326,10,35.73952869,1003.2
im_lr_004810.tif,3,7.44810599,-0.03663908,0.26852464,6,46.94964788,1731.22916667
im_lr_004809.tif,7,7.33721264,-0.04996675,0.27258308,12,33.63637859,888.60416667
im_lr_004808.tif,17,7.24330666,-0.02131832,0.27611699,19,26.96811921,571.20394737
im_lr_004807.tif,13,7.4274717,-0.01155157,0.26927063,16,29.51077602,683.9921875
im_lr_004806.tif,10,7.45640557,-0.02905846,0.26822575,15,30.83095186,746.55833333
im_lr_004805.tif,6,7.36094676,-0.02942262,0.27170418,12,34.59180794,939.80208333
im_lr_004804.tif,12,7.10330967,-0.02040834,0.28155889,16,29.95173915,704.5859375
im_lr_004803.tif,7,7.1048293,-0.0261487,0.28149867,12,34.44946094,932.08333333
im_lr_004802.tif,10,6.85681405,-0.02641307,0.29168065,14,31.81834894,795.14285714
im_lr_004801.tif,10,7.00685616,-0.02407718,0.28543472,12,34.46774341,933.07291667
im_lr_004800.tif,2,5.36973091,0.21052632,0.37245814,2,10.15932973,81.0625
im_lr_004799.tif,2,4.60921321,0.19047619,0.43391354,2,9.97355701,78.125
im_lr_004798.tif,3,4.2478509,0.27272727,0.47082632,3,7.81764019,48.0
im_lr_004797.tif,2,4.5153252,0.22857143,0.44293598,2,8.98284789,63.375
im_lr_004796.tif,2,4.37368647,0.27586207,0.45728015,2,7.99379194,50.1875
im_lr_004795.tif,1,5.19722394,0.16666667,0.38482082,1,11.74002473,108.25
im_lr_004794.tif,2,4.23033426,0.18883975,0.47277588,2,8.69474542,59.375
im_lr_004793.tif,3,3.85625158,0.21428571,0.51863836,3,8.66724484,59.0
im_lr_004792.tif,3,4.13498017,0.18461538,0.48367826,3,9.73669833,74.45833333
im_lr_004791.tif,5,3.79777848,0.19607843,0.52662366,5,9.0023162,63.65
im_lr_004790.tif,6,4.20222771,0.16928068,0.47593803,6,8.93399149,62.6875
im_lr_004789.tif,5,4.7021295,0.13800227,0.4253392,5,10.80242585,91.65
im_lr_004788.tif,4,5.00367146,0.11406285,0.3997065,4,13.1681172,136.1875
im_lr_004787.tif,4,5.24780882,0.11188811,0.38111144,4,14.24788159,159.4375
im_lr_004786.tif,4,5.54098766,0.10958904,0.36094648,4,14.83748884,172.90625
im_lr_004785.tif,4,5.90719843,0.090371,0.33856997,4,15.28396767,183.46875
im_lr_004784.tif,4,5.91455376,0.09731968,0.33814893,4,15.48440899,188.3125
im_lr_004783.tif,8,5.59354482,0.10591564,0.35755501,8,11.01073467,95.21875
im_lr_004782.tif,4,6.05997522,0.0834965,0.33003435,4,16.15839361,205.0625
im_lr_004781.tif,5,5.82197343,0.0823867,0.34352613,5,14.33085966,161.3
im_lr_004780.tif,5,5.53923188,0.09748667,0.36106089,5,14.12052806,156.6
im_lr_004779.tif,4,5.01846205,0.08853755,0.39852847,4,14.78375885,171.65625
im_lr_004778.tif,4,4.74826336,0.09049715,0.42120663,4,14.34944973,161.71875
im_lr_004777.tif,5,4.47640731,0.12820513,0.44678687,5,12.23654242,117.6
im_lr_004776.tif,8,4.23853371,0.18377602,0.47186129,8,9.82382709,75.796875
im_lr_004775.tif,9,4.27890105,0.16610637,0.46740973,9,9.8979144,76.94444444
im_lr_004774.tif,11,4.14359179,0.14806048,0.48267303,11,9.37379311,69.01136364
im_lr_004773.tif,11,4.33717365,0.18338109,0.4611298,11,9.50180291,70.90909091
im_lr_004772.tif,9,4.4076336,0.15035931,0.45375822,9,10.85484728,92.54166667
im_lr_004771.tif,10,4.32305495,0.18518519,0.4626358,10,9.86122052,76.375
im_lr_004770.tif,9,4.46711345,0.16323675,0.44771641,9,10.54160889,87.27777778
im_lr_004769.tif,9,4.47693149,0.17307692,0.44673456,9,10.47682486,86.20833333
im_lr_004768.tif,10,4.31497007,0.17241379,0.46350264,10,10.29626668,83.2625
im_lr_004767.tif,10,4.29395245,0.16666667,0.46577134,10,10.43598235,85.5375
im_lr_004766.tif,11,4.32552276,0.16533584,0.46237186,11,10.52963061,87.07954545
im_lr_004765.tif,10,4.36724054,0.14291032,0.45795508,10,11.2604948,99.5875
im_lr_004764.tif,15,4.12402314,0.15932593,0.48496333,15,9.73996696,74.50833333
im_lr_004763.tif,15,4.13455256,0.12823725,0.48372828,15,10.17420144,81.3
im_lr_004762.tif,17,4.21428566,0.15531752,0.47457628,17,9.67577153,73.52941176
im_lr_004761.tif,16,4.23828338,0.15168356,0.47188916,16,10.33839888,83.9453125
im_lr_004760.tif,13,4.48087495,0.11029016,0.4463414,13,11.92933378,111.76923077
im_lr_004759.tif,12,4.60500901,0.09561835,0.43430968,12,12.70784071,126.83333333
im_lr_004758.tif,14,4.67100855,0.09832646,0.42817305,14,11.74825265,108.40178571
im_lr_004757.tif,13,4.87709808,0.12389837,0.41007992,13,12.34789194,119.75
im_lr_004756.tif,14,4.81770944,0.12143346,0.41513504,14,12.32254779,119.25892857
im_lr_004755.tif,14,4.96131044,0.12884726,0.4031193,14,12.47930735,122.3125
im_lr_004754.tif,14,5.06328644,0.0956713,0.39500037,14,13.23614323,137.59821429
im_lr_004753.tif,12,5.51097748,0.11320755,0.36291203,12,14.57686907,166.88541667
im_lr_004752.tif,14,5.32120248,0.09304218,0.3758549,14,13.87190306,151.13392857
im_lr_004751.tif,12,5.61400938,0.09975573,0.35625163,12,15.42777422,186.9375
im_lr_004750.tif,10,5.55614988,0.06157224,0.35996149,10,17.55889962,242.15
im_lr_004749.tif,14,5.38361163,0.09870397,0.37149782,14,14.69332094,169.5625
im_lr_004748.tif,15,5.33311066,0.0737191,0.37501566,15,14.29230787,160.43333333
im_lr_004747.tif,13,5.22111719,0.06407841,0.38305978,13,15.56504261,190.27884615
im_lr_004746.tif,15,5.31409514,0.08115937,0.37635758,15,14.74827975,170.83333333
im_lr_004745.tif,19,5.17917319,0.0775131,0.38616202,19,13.28953451,138.71052632
im_lr_004744.tif,17,5.10710011,0.0787628,0.39161167,17,14.27463265,160.03676471
im_lr_004743.tif,16,5.1481754,0.06379927,0.38848715,16,15.49981892,188.6875
im_lr_004742.tif,20,5.12181379,0.07602931,0.39048667,20,13.99059351,153.73125
im_lr_004741.tif,19,5.14801899,0.07542914,0.38849896,19,15.05417757,177.99342105
im_lr_004740.tif,15,5.50335058,0.06229207,0.36341497,15,17.54197188,241.68333333
im_lr_004739.tif,16,5.46566454,0.06039471,0.36592074,16,17.12666226,230.375
im_lr_004738.tif,21,5.45726158,0.06180151,0.36648417,21,15.37549092,185.67261905
im_lr_004737.tif,21,5.54760033,0.04778959,0.36051624,21,16.09365474,203.42261905
im_lr_004736.tif,19,5.75047828,0.05531102,0.34779716,19,17.07596583,229.01315789
im_lr_004735.tif,19,5.7487111,0.04743564,0.34790407,19,17.41331884,238.15131579
im_lr_004734.tif,16,5.85168437,0.0404625,0.34178193,17,19.0691268,285.59558824
im_lr_004733.tif,20,5.68763252,0.04912986,0.35164016,21,17.1040791,229.76785714
im_lr_004732.tif,20,5.4346336,0.03576428,0.36801009,20,17.72219977,246.675
im_lr_004731.tif,16,5.64074227,0.0352628,0.35456327,16,20.08130566,316.71875
im_lr_004730.tif,21,5.58945602,0.04943708,0.35781657,21,17.66321492,245.03571429
im_lr_004729.tif,24,5.54975754,0.03988325,0.3603761,24,16.81325979,222.02083333
im_lr_004728.tif,27,5.64286953,0.06748577,0.3544296,27,16.10641681,203.74537037
im_lr_004727.tif,26,5.72856119,0.04996144,0.34912781,26,16.99948609,226.96634615
im_lr_004726.tif,24,5.83497464,0.05136692,0.3427607,26,17.40426915,237.90384615
im_lr_004725.tif,26,5.8813671,0.04729449,0.34005699,27,17.42335551,238.42592593
im_lr_004724.tif,24,6.03224524,0.0087949,0.33155151,24,18.89877209,280.515625
im_lr_004723.tif,20,6.14519578,0.01365777,0.32545749,22,20.18434336,319.97727273
im_lr_004722.tif,17,6.10441533,0.00317066,0.3276317,17,23.37334775,429.07352941
im_lr_004721.tif,15,6.18198221,-0.01305679,0.32352083,16,24.46674334,470.15625
im_lr_004720.tif,14,6.23743186,-0.01115429,0.32064479,18,22.96027489,414.04166667
im_lr_004719.tif,12,6.48307203,0.00885569,0.30849572,17,23.86838494,447.44117647
im_lr_004718.tif,11,6.62548072,-0.00526492,0.30186489,16,24.92850622,488.0703125
im_lr_004717.tif,15,6.65331113,-0.00217944,0.30060221,19,23.10350997,419.22368421
im_lr_004716.tif,16,6.66492515,-0.00576936,0.30007839,17,25.04866455,492.78676471
im_lr_004715.tif,11,6.54586151,-0.02148751,0.30553656,14,27.71736421,603.38392857
im_lr_004714.tif,10,6.63876833,-0.03572278,0.3012607,14,28.48518921,637.27678571
im_lr_004713.tif,15,6.76694417,-0.00698002,0.29555438,16,26.58865002,555.2421875
im_lr_004712.tif,13,6.73624953,-0.02252792,0.29690112,17,26.16111052,537.52941176
im_lr_004711.tif,20,6.54823317,-0.0003792,0.3054259,22,22.66753769,403.55113636
im_lr_004710.tif,25,6.29094265,-0.00525233,0.31791738,27,20.32301063,324.38888889
im_lr_004709.tif,17,6.24592976,-0.02310141,0.32020853,19,24.56859913,474.07894737
im_lr_004708.tif,15,6.49687706,-0.03180421,0.30784021,20,24.12446555,457.09375
im_lr_004707.tif,14,6.63624802,-0.02294832,0.30137511,21,23.84040768,446.39285714
im_lr_004706.tif,6,7.18370194,-0.03350692,0.27840799,16,28.11800267,620.953125
im_lr_004705.tif,4,7.26119013,-0.05166424,0.27543694,16,28.54999289,640.1796875
im_lr_004704.tif,-4,7.86323058,-0.07445648,0.25434839,12,33.39796634,876.05208333
im_lr_004703.tif,6,7.6852684,-0.07593703,0.26023815,16,27.82068264,607.890625
im_lr_004702.tif,0,7.4701908,-0.07687859,0.26773078,10,34.78287123,950.2125
im_lr_004701.tif,1,7.65290047,-0.07363067,0.26133882,11,33.71689917,892.86363636
im_lr_004700.tif,4,5.03127143,0.15512465,0.39751383,4,10.91455335,93.5625
im_lr_004699.tif,5,4.72967632,0.1563805,0.42286192,5,10.07832747,79.775
im_lr_004698.tif,3,5.66245393,0.07169959,0.35320376,3,14.07084749,155.5
im_lr_004697.tif,3,6.23946815,0.12326971,0.32054014,3,13.92874279,152.375
im_lr_004696.tif,4,5.41876119,0.15686275,0.36908805,4,12.12351393,115.4375
im_lr_004695.tif,3,5.55134028,0.11538462,0.36027336,3,14.42642069,163.45833333
im_lr_004694.tif,3,5.00056219,0.07163836,0.39995503,3,15.0808625,178.625
im_lr_004693.tif,3,4.95985043,0.02979516,0.40323797,3,15.79898739,196.04166667
im_lr_004692.tif,4,4.95147992,0.10895079,0.40391964,4,13.33476135,139.65625
im_lr_004691.tif,5,4.89202604,0.1158371,0.40882857,5,12.00544528,113.2
